Company Name,Website,Location,Careers?
3D LAB Sp. z o.o.,www.3d-lab.pl,Poland,Skipped/No
3D Systems GmbH,www.3dsystems.com,Germany,Skipped/No
3DCeram SAS,www.3dceram.com,France,Yes
3DPro (Shanghai) Technology Co. Ltd,www.3dpro.com.cn,China,Skipped/No
3YOURMIND GmbH,www.3yourmind.com,Germany,Yes
5N Plus,www.5nplus.com,Canada,Yes
9T Labs,www.9tlabs.com,CH,Yes
A. Ebbecke Verfahrenstechnik AG,www.ebbecke-verfahrenstechnik.de,Germany,Yes
ACAM Aachen Center for Additive,www.acam-aachen.de,Germany,Skipped/No
Adaptive3D Technologies,www.adaptive3d.com,USA,Yes
Added Scientific Ltd.,www.addedscientific.com,UK,Skipped/No
Addiguru LLC,www.addiguru.com,USA,Yes
Addilan Fabricacion Aditiva S.L.,www.addilan.com,Spain,Yes
Additive Assurance,www.additiveassurance.com,Australia,Yes
Additive Industries b.v.,www.additiveindustries.com,Netherlands,Yes
Additive Manufacturing Technologies,www.amtechnologies.co.uk,UK,Yes
AddUp SAS,https://www.addupsolutions.com/en/additive-technologies/,France,Skipped/No
ADIRA - Metal Forming Solutions S.A.,www.adira.pt,Portugal,Skipped/No
Agile Manufacturing Ltd - Pivot AM Service,www.pivotam.com,USA,Yes
AIDIMME - Metal-processing Furniture Wood and Packaging Technology Institute,https://en.aidimme.es/@capacidades-fabricacionaditiva,Spain,Skipped/No
Airtech Europe Sarl,www.airtech3D.com,Luxemborg,Yes
Alicona Imaging GmbH,www.alicona.com,Austria,Yes
Aluminium Material Technologies,www.a20x.com,UK,Yes
AM POLYMERS GmbH,www.am-polymers.de,Germany,Yes
AM Ventures Holding GmbH,www.amv.ventures,Germany,Skipped/No
Amable,www.ewf.be,Portugal,Yes
AMCM GmbH,www.amcm.com,Germany,Yes
AMETEK GmbH-Division Creaform,www.creaform3d.com,Germany,Yes
AM-Flow,www.am-flow.com,Netherlands,Yes
AMP+ - Automated and Clean Powder Processing - ULT AG,www.ampplus.de,Germany,Yes
AMT - The Association For Manufacturing Technology,www.amtonline.org,USA,Yes
AON Co. Ltd,www.aoninni.com,Korea,Skipped/No
Apium Additive Technologies GmbH,www.apiumtec.com,Germany,Yes
VDMA e.V. AGAM,https://am.vdma.org,Germany,Skipped/No
ARBURG GmbH + Co KG,www.arburg.com,Germany,Skipped/No
Arkema France SA,www.arkema.com,France,Yes
ARMOR SAS,www.kimya.fr,France,Skipped/No
atum3D B.V.,www.atum3d.com,Netherlands,Yes
Autodesk GmbH,www.autodesk.com,Germany,Yes
AZO GmbH & Co. KG,www.azo.de,Germany,Skipped/No
BAHSYS GmbH,www.bahsys.de,Germany,Yes
Baker Hughes,www.bakerhughes.com,USA,Yes
BASF 3D Printing Solutions GmbH,www.basf.de,Germany,Yes
Bosch Advanced Ceramics - Robert Bosch GmbH,https://www.bosch-advanced-ceramics.com/,Germany,Skipped/No
Brightlands Materials Center,www.brightlandsmaterialscenter.com,Netherlands,Yes
Bundesministerium für Bildung,www.bmbf.de,Germany,Yes
C. HAFNER GmbH & Co. KG,www.c-hafner.de,Germany,Yes
Carbolite Gero GmbH & Co. KG,www.carbolite-gero.de,Germany,Skipped/No
Carbon Inc.,www.carbon3d.com,USA,Yes
Carima Co. Ltd.,www.carima.com,Korea,Yes
CEAD BV,www.ceadgroup.com,Netherlands,Skipped/No
CHIRON Group SE,www.chiron-group.de,Germany,Skipped/No
cirp GmbH,www.cirp.de,Germany,Yes
Coreline Soft Co. Ltd.,www.corelinesoft.com/,Korea,Yes
Covestro Deutschland AG,www.covestro.com,Germany,Yes
CraftUnique Ltd.,www.craftbot.com,Hungary,Skipped/No
CT CoreTechnologie GmbH,www.coretechnologie.com,Germany,Yes
Cubicure GmbH,www.cubicure.com,Austria,Yes
Digital Metal AB,https://digitalmetal.tech/,Sweden,Skipped/No
DSM Additive Manufacturing - DSM Desotech BV,www.dsm.com/additive-manufacturing/,Netherlands,Skipped/No
DyeMansion GmbH,www.dyemansion.com,Germany,Yes
ELiSE GmbH,www.elise.de,Germany,Yes
Elkem Silicones France SAS,www.silicones.elkem.com/,France,Skipped/No
EOS GmbH,www.eos.info,Germany,Yes
Equispheres Inc.,www.equispheres.com,Canada,Skipped/No
Essentium Inc.,www.essentium.com,USA,Yes
Evonik Industries AG,https://3d-printing.evonik.com/en,Germany,Skipped/No
ExOne GmbH,www.exone.com,Germany,Yes
Exponential Technologies Ltd.,www.x-t.ai,Latvia,Yes
F. & G. Hachtel GmbH & Co. KG,www.fg-hachtel.com,Germany,Yes
FARSOON Europe GmbH,www.farsoon.com,Germany,Skipped/No
Fehrmann Alloys GmbH & Co. KG,www.alloys.tech,Germany,Yes
FerroCrtalic d.o.o.,www.ferroecoblast.com,Slovakia,Yes
Formlabs GmbH,www.formlabs.com/de,Germany,Yes
Fraunhofer ILT,www.ilt.fraunhofer.de,Germany,Yes
Fraunhofer-Allianz Generative Fertigung,www.generativ.fraunhofer.de,Germany,Yes
Fraunhofer-Einrichtung für Additive,www.iapt.fraunhofer.de,Germany,Yes
GE Additive Germany GmbH,www.ge.com/additive,Germany,Skipped/No
Gebr. Becker GmbH,www.becker-international.com,Germany,Yes
German RepRap GmbH,www.germanreprap.com,Germany,Yes
Grenzebach Maschinenbau GmbH,www.grenzebach.com,Germany,Yes
GTAI - Germany Trade & Invest,https://www.gtai.com/3D-printing,Germany,Skipped/No
Guangzhou Heygears IMC. INC,www.heygears.com,China,Yes
H.C. Starck Inc.,www.hcstarcksolutions.com,USA,Skipped/No
Höganäs AB,www.hoganas.com,Sweden,Yes
Hage 3D,www.hage3d.com,Austria,Yes
Hans Weber Maschinenfabrik GmbH,www.hansweber.de,Germany,Yes
HARZ Labs Distribution LLC,www.harzlabs.com,RU,Yes
Heraeus AMLOY Technologies GmbH,www.heraeus-amloy.com,Germany,Skipped/No
Hessen Trade & Invest GmbH,http://www.technologieland-hessen.de?Ã‚Â,Germany,Skipped/No
Hexagon Manufacturing Intelligence,www.hexagonmi.com,UK,Skipped/No
Hiperbaric S.A.,www.hiperbaric.com,Spain,Yes
HP Inc.,www8.hp.com/,Spain,Yes
igus GmbH,www.igus.de,Germany,Yes
IK Office GmbH,www.ikoffice.de,Germany,Yes
Imaginarium Rapid Private Limited,www.imaginarium.io,India,Yes
Impact Innovations GmbH,www.impact-innovations.com,Germany,Yes
Infinite Material Solutions LLC,www.infinitematerialsolutions.com,USA,Skipped/No
InssTek Inc.,www.insstek.com,Korea,Skipped/No
INTAMSYS TECHNOLOGY CO. LTD,www.intamsys.com,China,Skipped/No
Kanthal AB,www.kanthal.com,Sweden,Skipped/No
KNF Neuberger GmbH,www.knf.com,Germany,Yes
Kumovis GmbH,www.kumovis.com,Germany,Yes
Kuraray Europe GmbH,www.kuraray.eu,Germany,Yes
Kurtz GmbH,www.kurtzersa.de,Germany,Yes
Laserline GmbH,https://www.laserline.com/en-int/,Germany,Skipped/No
Lehmann&Voss&Co. KG / LEHVOSS,https://www.luvocom.de/en/products/3d-printing-materials/,Germany,Skipped/No
LEO Lane Ltd.,www.leolane.com,Israel,Yes
Liberty Powder Metals Ltd,http://www.libertyhousegroup.com/our-businesses/liberty-steel/liberty-powder-metals/,UK,Skipped/No
Lithoz GmbH,www.lithoz.com,Austria,Yes
LuxCreo Inc.,www.luxcreo.com,USA,Skipped/No
Markforged Inc.,www.markforged.com,USA,Yes
Massivit 3D Printing Technologies Ltd.,www.massivit3d.com,Israel,Skipped/No
Materialise NV,www.materialise.com,Belgium,Yes
Materials Solutions Limited,www.materialssolutions.co.uk,UK,Yes
Messer Group GmbH,www.messergroup.com,Germany,Yes
Microtrac Retsch,www.microtrac.com,Germany,Skipped/No
Mimaki Europe B.V.,www.mimakieurope.com,Netherlands,Yes
Mimete S.r.l.,www.mimete.com,Italy,Yes
miniFactory Oy Ltd,www.minifactory.fi/en,Finland,Yes
Mitsubishi Electric,https://www.mitsubishielectric.com/en/index.html,J,Skipped/No
Mitsubishi Heavy Industries Machine Tool,www.mhi-machinetool.com/en,J,Yes
Mitsui Mining & Smelting Co. Ltd,www.mitsui-kinzoku.co.jp/en/,J,Yes
MolyWorks Materials Corporation,www.molyworks.com,USA,Yes
NatureWorks,www.natureworksllc.com,USA,Yes
NematX AG,www.nematx.com,CH,Yes
Nexa3D Inc.,www.nexa3d.com,USA,Skipped/No
Northbridge New Material,www.northbridge3d.com,China,Yes
Novanta,www.novanta.com,Germany,Yes
NTRON Ltd.,www.ntron.com,Ireland,Yes
OECHSLER AG,www.oechsler.com,Germany,Yes
Oerlikon AM GmbH,www.oerlikon.com,Germany,Yes
OPTOMEC Inc.,www.optomec.com,USA,Skipped/No
Peter Lehmann AG,www.lehmann-rotary-tables.com,CH,Yes
Photocentric Ltd.,www.photocentricgroup.com,UK,Yes
PostProcess Technologies Inc.,www.postprocess.com,USA,Skipped/No
Prima Additive,www.primapower.com,Italy,Skipped/No
pro-beam additive GmbH,www.pro-beam.com,Germany,Skipped/No
PRODWAYS SAS,www.prodways.com,France,Yes
Rahn AG,www.rahn-group.com,CH,Yes
RangeVision LLC,www.rangevision.com,RU,Yes
Rapidia Tech Inc.,www.rapidia.com,Canada,Yes
RENA Technologies Austria GmbH,www.rena.at,Austria,Skipped/No
Renishaw GmbH,www.renishaw.de,Germany,Yes
Ricoh,www.ricoh.com,UK,Yes
RPS - Industrial 3D Printing Systems,www.rps.ltd,UK,Yes
S&S Scheftner GmbH,www.scheftner.dental,Germany,Yes
HBD Metal 3D Printer -,www.hb3dp.com,China,Yes
Shanghai Union Technology Corporation,www.uniontech3d.com,China,Skipped/No
Shining 3D Technology GmbH,www.shining3d.com,Germany,Yes
Siemens AG,www.siemens.com,Germany,Yes
Sintratec AG,www.sintratec.com,CH,Yes
Slice Engineering,www.sliceengineering.com,USA,Yes
SLM Solutions Group AG,www.slm-solutions.com,Germany,Skipped/No
Smart3D,www.smart3d.tech,AR,Yes
Solukon Maschinenbau GmbH,www.solukon.de,Germany,Yes
Spectroplast AG,www.spectroplast.com,CH,Yes
Start-Up Nation Central Ltd.,www.startupnationcentral.org,Israel,Skipped/No
Stratasys GmbH,www.stratasys.com,Germany,Yes
Supfina Grieshaber GmbH & Co. KG,www.supfina.com,Germany,Yes
TANIOBIS GmbH,www.taniobis.com,Germany,Yes
TÜV SÜD Product Service GmbH,www.tuev-sued.de/ps,Germany,Yes
Tech Soft 3D,www.techsoft3d.com,USA,Yes
Tekna,www.tekna.com,France,Yes
The Lubrizol Corporation,www.lubrizol.com/Engineered-Polymers/Technologies/3D-Printing-Materials,USA,Yes
Thermwood Corporation,www.thermwood.com,USA,Yes
Titan Robotics Ltd.,www.titan3drobotics.com,USA,Yes
TOffeeAM LTD,www.toffeeam.co.uk,UK,Yes
trinckle 3D GmbH,www.trinckle.com,Germany,Yes
Tritone Technologies Ltd,www.tritoneam.com,Israel,Yes
TRUMPF Laser- und Systemtechnik GmbH,www.trumpf.com,Germany,Yes
Twikit NV,www.twikit.com,Belgium,Yes
U.S. Commercial Service,www.export.gov,Germany,Yes
Velo3D,www.velo3d.com,USA,Yes
Viaccess-Orca Israel ltd.,www.viaccess-orca.com,Israel,Yes
Victrex Europa GmbH,www.victrex.com,Germany,Skipped/No
Visitech Engineering GmbH,www.visitech.no,Germany,Yes
voxeljet AG,www.voxeljet.com,Germany,Skipped/No
VTT Technical Research Centre of,https://www.vttresearch.com,Finland,Skipped/No
Würth Industrie Service GmbH & Co. KG,www.wuerth-industrie.com,Germany,Yes
Xact Metal Inc.,www.xactmetal.com,USA,Yes
Xi'an Bright Laser Technologies Co. Ltd,www.xa-blt.com,China,Yes
ZORTRAX S.A.,www.zortrax.com,Poland,Yes
GFMS Machining Solutions SA,www.gfmsadditive.com,CH,Yes
Optoprim Germany GmbH,www.optoprim.de,Germany,Yes
Zedex LLC TPK,www.plastmass-group.net,RU,Yes
Metalpine GmbH,www.metalpine.at,Austria,Yes
EMT Electronics Engineering Limited,https://www.x-tremeseries.com/,Turkey,Skipped/No
The TCT Group,www.thetctgroup.com,UK,Yes
GPA Innova-Dlyte,www.dlyte.es,Spain,Yes
Thermo Fisher Scientific,www.thermofisher.com,Netherlands,Yes
EVO-tech GmbH,www.evo-tech.eu,Austria,Yes
BigRep GmbH,www.bigrep.com,Germany,Skipped/No
Anisoprint SARL,www.anisoprint.com,Luxemborg,Yes
Lynxter SAS,www.lynxter.fr,FR,Yes
Technische Universität Darmstadt,www.tu-darmstadt.de,Germany,Yes
Meltio - DirectedMetal 3D SL,www.meltio3d.com,Spain,Skipped/No
Uniz Technology LLC,www.uniz.com,USA,Skipped/No
Artec Europe Sarl,www.artec3d.com,Luxemborg,Yes
EnvisionTEC GmbH,www.envisiontec.com,Germany,Yes
ZVerse Inc.,www.zverse.com,USA,Yes
LOOP 3D EUROPE SP. Z O.O.,https://loop3dprinter.com/,Poland,Skipped/No
Ingersoll Machine Tools Inc.,www.ingersoll.com,USA,Skipped/No
